product_MRP,product_category,product_discount,product_features,product_image,product_link,product_name,product_rating,product_selling_price,product_warranty
"₹,16,999",,"17,% off","4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5.2 inch Full HD Display,12MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 625 Octa Core 2GHz Processor",,,"Moto G5 Plus (Fine Gold, 32 GB),  (4 GB RAM)",4.3,"₹,13,999",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"₹,3,999",,"50,% off","Colour: Grey,Outer Material: Mesh",https://rukminim1.flixcart.com/image/704/704/jave1zk0/shoe/t/p/7/kor-nw-9-puma-dark-shadow-quiet-shade-cherry-tomato-original-imafycszf8f7dkd8.jpeg?q=70,,"Puma Kor Sneakers,  (Grey)",,"₹,1,996",
